split,uuid,category,item_title,description,listing_price,buyer_target,seller_target,num_turns,final_price,deal_reached,seller_utterances,buyer_utterances,transcript,score_turn_depth,score_substance,score_reasoning,score_persuasion,score_info_exchange,score_price_discovery,score_balance,score_opener,penalty_total,quality_score,semantic_coherence,semantic_reasoning,semantic_adaptiveness,semantic_tactics,semantic_info_leverage,semantic_notes,semantic_total,cut_turn_index,cut_reasoning,final_score,quality_tier
train,C_1f531424e5ed47fc9f3b64f69eb21460,bike,TREK JET 20 S for 5-10 Year Old Kid,Fits 5-10 year old child depening on height Single Speed,100,76,100,12,87,TRUE,"It is in great condition.  I would be willing to deliver it to you! ||| I only have the blue one, but it is in like new condition. ||| well, I will throw in free delivery and a 3 month warranty for the $100. ||| That is a really big difference!  I will also throw in a helmet and bring the price down to $95.  So, you will get the bike, the helmet, delivery, and a 3 month warranty.  I feel that this is more than fair.  Wouldn't you agree? ||| Can we split the difference and agree on 87.50? ||| Agreed, thank you!","Hello. I saw your ad. I really would like to buy it for my kid. Is it a reliable equipment ||| Great and do you have it in different colors? ||| Okay, I can still use that, but now the price is an issue for me. What can we do about that? ||| I can't afford $100 because I am not working full time. I just have a certain budget. I can only pay $76 for it ||| I would appreciate if you waive the other options as I just want the bike for my kid. Can we work $80 for it? ||| okay I think I can do that by taking in more hours at work at least my kid will be happy :)","Buyer: Hello. I saw your ad. I really would like to buy it for my kid. Is it a reliable equipment
Seller: It is in great condition.  I would be willing to deliver it to you!
Buyer: Great and do you have it in different colors?
Seller: I only have the blue one, but it is in like new condition.
Buyer: Okay, I can still use that, but now the price is an issue for me. What can we do about that?
Seller: well, I will throw in free delivery and a 3 month warranty for the $100.
Buyer: I can't afford $100 because I am not working full time. I just have a certain budget. I can only pay $76 for it
Seller: That is a really big difference!  I will also throw in a helmet and bring the price down to $95.  So, you will get the bike, the helmet, delivery, and a 3 month warranty.  I feel that this is more than fair.  Wouldn't you agree?
Buyer: I would appreciate if you waive the other options as I just want the bike for my kid. Can we work $80 for it?
Seller: Can we split the difference and agree on 87.50?
Buyer: okay I think I can do that by taking in more hours at work at least my kid will be happy :)
Seller: Agreed, thank you!
Buyer: [Offers $87.0]
Seller: [Accept]",4,3,3,2,2,2,1,1,0,18,2,2,2,2,1,"The negotiation follows a logical flow with both parties using bundling and concessions to bridge their price gap, providing decent training data.",9,9,"Turn 9 is the last seller turn that actively proposes a specific counter-offer and strategy, while subsequent turns are purely administrative or agreement-based.",27,strong
train,C_bbd4de0076cb4d7bb4cc8f4bb9afbf98,furniture,Professional Office Furniture - Hutch,"We need to sell off some of our office furniture as we need to make some extra room. This is a very new piece fully assembled. We bought it from Coscto Furniture, 3 months back. Here's the link to the actual furniture. https://www.costco.com/Logan-U-shape-Workstation-with-Adjustable-Bridge.product.100245742.html",300,228,300,11,375,TRUE,"no, that's way too low, brand new it would be 2000 and yeah, it's not brand new but still ||| it's been very well taken care of, you wouldn't even know it was used how about 600 and I'll even help you move it to your vehicle ||| ahhh man, you hear that breaking sound?  that's my balls, man!  come on.. how about five hundred, and yeah, I throw in the printer. ||| sorry, man the books I need... and the chair stays how about the hutch and the printer.. 400.  that's my final offer ||| fine... I gotta your robbing me blind.  My kids will have to tighten their belts for the next week with all the money you're stealing from me.  but yeah, I'll do it","I'm interested in your hutch.  Will you take $200? ||| $2000 from Costco?  You need to stay out of that place, you got robbed.  I'm willing to go up to $225 because my mom needs a new desk soon. ||| I will take it for $300 if you throw in that printer too. ||| Alright, $325.  Printer, all the books and the wires hanging in the back.  Do you have a computer chair> ||| $375, printer, hutch and you help loading? ||| Pleasure doing business with you.  Give your kids my regards.","Buyer: I'm interested in your hutch.  Will you take $200?
Seller: no, that's way too low, brand new it would be 2000 and yeah, it's not brand new but still
Buyer: $2000 from Costco?  You need to stay out of that place, you got robbed.  I'm willing to go up to $225 because my mom needs a new desk soon.
Seller: it's been very well taken care of, you wouldn't even know it was used how about 600 and I'll even help you move it to your vehicle
Buyer: I will take it for $300 if you throw in that printer too.
Seller: ahhh man, you hear that breaking sound?  that's my balls, man!  come on.. how about five hundred, and yeah, I throw in the printer.
Buyer: Alright, $325.  Printer, all the books and the wires hanging in the back.  Do you have a computer chair>
Seller: sorry, man the books I need... and the chair stays how about the hutch and the printer.. 400.  that's my final offer
Buyer: $375, printer, hutch and you help loading?
Seller: fine... I gotta your robbing me blind.  My kids will have to tighten their belts for the next week with all the money you're stealing from me.  but yeah, I'll do it
Seller: [Offers $375.0]
Buyer: Pleasure doing business with you.  Give your kids my regards.
Buyer: [Accept]",4,3,2,1,2,2,1,0,0,15,2,3,2,3,2,"This transcript is excellent training data as it captures realistic, multi-variable negotiation including bundling, emotional appeals, and specific condition-based justifications.",12,9,"Turn 9 is the final seller turn containing negotiation substance, including the acceptance of the buyer's counter-offer and emotional framing, before the system-generated offer tag.",27,strong
train,C_2c986b1c12414614ac57c10bd58ec56b,furniture,Armoire clothes or other Storage Cabinet PRICED TO SELL!,"Thank you for viewing this nice MCM wood armoire.  Great for storing clothes, craft items, and more!  It measures 38"" wide x 19"" deep x 60"" high.  The handle on the right door is missing, but easily replaced.",40,30,40,12,35,TRUE,"Hi there. I'm trying to get rid of this armoire as soon as possible. ||| It's in pretty good condition.  The handle on the right door is missing. That's the only thing wrong with it. ||| The handle doesnt cost much to replace.  Home depot has something similar for cheap. How about 35? ||| Okay, you have a point. 33 and it's a deal. ||| Delivery? That's a bit extra. I would expect you to come pick it up. ||| I'll deliver it and accept the 35","The armoire looks pretty nice. ||| I'm sure it will take time and money to replace the handle.  I would like to pay $30. ||| I hope you're correct, but it will still take some time. I will also need to get it installed, I'm not good with tools.  Let's make it 32 dollars. ||| I will agree to $33 if you can deliver it.   ||| I don't have a vehicle.  I would have to rent something.  I will cost much more.  If I have to pick it up, I will pay $30.  If you deliver it, I will pay you $35. ||| Great, $35 with delivery.  ","Seller: Hi there. I'm trying to get rid of this armoire as soon as possible.
Buyer: The armoire looks pretty nice.
Seller: It's in pretty good condition.  The handle on the right door is missing. That's the only thing wrong with it.
Buyer: I'm sure it will take time and money to replace the handle.  I would like to pay $30.
Seller: The handle doesnt cost much to replace.  Home depot has something similar for cheap. How about 35?
Buyer: I hope you're correct, but it will still take some time. I will also need to get it installed, I'm not good with tools.  Let's make it 32 dollars.
Seller: Okay, you have a point. 33 and it's a deal.
Buyer: I will agree to $33 if you can deliver it.  
Seller: Delivery? That's a bit extra. I would expect you to come pick it up.
Buyer: I don't have a vehicle.  I would have to rent something.  I will cost much more.  If I have to pick it up, I will pay $30.  If you deliver it, I will pay you $35.
Seller: I'll deliver it and accept the 35
Seller: [Offers $35.0]
Buyer: Great, $35 with delivery.  
Buyer: [Accept]",4,2,1,1,1,2,1,0,0,12,3,3,3,3,3,"This is an excellent example of a natural, high-quality negotiation where both parties clearly justify their positions, use bundling to overcome constraints, and reach a resolution through active communication.",15,8,Turn 8 is the last strategic turn from the seller where they push back and defend their position before eventually conceding in the final exchange.,27,strong
train,C_ee168e609e9a4f0dabfccbad56f2dcdd,car,2001 toyota rav4 clean title low miles 129k runs great,"I have a 2001 toyota rav 4 for sale.  white color . first owner , clean title ,  lower mileages , just 130k miles. car runs great , smog passed . with the spare tire and nice cover on the back.",4000,2400,4000,12,,FALSE,"It is a great car. It runs great. I'm asking $4000. ||| It may be old, but it runs great. Has lower mileage and a clean title. ||| I'm going to get a motorcycle instead. How much are you willing to pay? ||| You can't get a car like this for that low. I checked the Blue Book, and what I'm asking is right in range. I'll tell you what. I have a friend who is a mechanic. If you give me $3500, I'll have him check it out for you for free. ||| How about $3400?  ||| No, too low. I'm close to the Blue Book value. If you pay $3400 and something goes wrong in the next three months, I'll refund your money. You rarely get a warranty like tha!","Hi, I'm interested in the 2001 Rav 4 ||| That's way out of my budget, plus it seems a bit steep for such an old car.  ||| Why are you selling it?  ||| I'm very interested, but it's out of my price point. I'd like to pay around 2,500 for my next car.  ||| I could go up to $3,000 ||| Believe me, I wish I had that much saved. The absolute highest I could go is $3,200 ","Buyer: Hi, I'm interested in the 2001 Rav 4
Seller: It is a great car. It runs great. I'm asking $4000.
Buyer: That's way out of my budget, plus it seems a bit steep for such an old car. 
Seller: It may be old, but it runs great. Has lower mileage and a clean title.
Buyer: Why are you selling it? 
Seller: I'm going to get a motorcycle instead. How much are you willing to pay?
Buyer: I'm very interested, but it's out of my price point. I'd like to pay around 2,500 for my next car. 
Seller: You can't get a car like this for that low. I checked the Blue Book, and what I'm asking is right in range. I'll tell you what. I have a friend who is a mechanic. If you give me $3500, I'll have him check it out for you for free.
Buyer: I could go up to $3,000
Seller: How about $3400? 
Buyer: Believe me, I wish I had that much saved. The absolute highest I could go is $3,200 
Seller: No, too low. I'm close to the Blue Book value. If you pay $3400 and something goes wrong in the next three months, I'll refund your money. You rarely get a warranty like tha!
Buyer: [Quit]",4,3,1,1,2,2,1,0,0,14,2,3,3,3,2,"The transcript displays a robust negotiation with clear tactic shifting and multi-factor justifications, making it high-quality data.",13,11,This is the final turn where the seller employs a warranty offer to address the buyer's hesitation before the negotiation terminates.,27,strong
train,C_26a17a9bd6754463b0ce7b4db02c3f78,housing,Beautiful Townhouse with Garage - Nice Area.,"Beautiful 2 bed, 1.5 baths, approximately 1200 square- feet spacious townhouse, a 90 square feet lovely private atrium, and an attached 240 square feet garage in an excellent neighborhood in East Vallejo. A bi-level floor architecture for privacy. A private breezeway entry to your home. A large attached garage with your own laundry space.  Cathedral ceiling through out the house. Fireplace in the living room. Master suite with a walk-in closet. Lots of skylights through out the house.  Kitchen with full set of appliances and a large operable skylight. Floors with tiles and carpet. A bonus storage room and an entry closet. Enjoy the outdoor living inside your home with a private atrium! A spacious rear fenced in patio. Washer Dryer hook ups. Cross street Tennessee St. East, across from Saint Catherine's Church.",1800,1368,1800,12,1550,TRUE,"Hello, glad you are interested in the townhouse. Are there any questions I can answer for you? ||| All appliances are included - except washer and dryer. ||| Pets OK. They complete a family. I would say smoking outside is acceptable, but please be courteous and keep the grounds clean.  ||| I feel we could go down to 1650. The savings could go towards purchasing your own washer/dryer unit. ||| There are many benifits to this unit that I think you would find agreeable. We offer 24/7 maintenance, and a satisfaction guarantee. With all the townhouse has to offer you can see the value. Could we meet in the middle at 1580? ||| I can go as low $1550 ... and if we go ahead and lock that price in and start the application now we will waive the $30 application fee.","Yeah, I was wondering if the townhome came with any appliances? ||| Are there any rules on smoking? Or pets?  ||| I understand that. It seems like a pretty nice place. But without a washer and dryer available on the property, I was wondering if there may be some wiggle room price wise? ||| 1650 is a pretty good start, but I was thinking, since I had to purchase a new washer and dryer would could do something like 1368? ||| I do like the 24/7 maintenance, if you were able to do an even 1500 I would be happy to make this deal. ||| Agreed","Seller: Hello, glad you are interested in the townhouse. Are there any questions I can answer for you?
Buyer: Yeah, I was wondering if the townhome came with any appliances?
Seller: All appliances are included - except washer and dryer.
Buyer: Are there any rules on smoking? Or pets? 
Seller: Pets OK. They complete a family. I would say smoking outside is acceptable, but please be courteous and keep the grounds clean. 
Buyer: I understand that. It seems like a pretty nice place. But without a washer and dryer available on the property, I was wondering if there may be some wiggle room price wise?
Seller: I feel we could go down to 1650. The savings could go towards purchasing your own washer/dryer unit.
Buyer: 1650 is a pretty good start, but I was thinking, since I had to purchase a new washer and dryer would could do something like 1368?
Seller: There are many benifits to this unit that I think you would find agreeable. We offer 24/7 maintenance, and a satisfaction guarantee. With all the townhouse has to offer you can see the value. Could we meet in the middle at 1580?
Buyer: I do like the 24/7 maintenance, if you were able to do an even 1500 I would be happy to make this deal.
Seller: I can go as low $1550 ... and if we go ahead and lock that price in and start the application now we will waive the $30 application fee.
Buyer: Agreed
Buyer: [Offers $1550.0]
Seller: [Accept]",4,3,1,1,2,2,1,1,0,15,3,3,3,3,2,"This is an excellent training example because both parties effectively communicate, justify positions, and deploy multiple negotiation tactics to reach a mutually agreeable settlement.",14,10,"The turn at index 10 represents the final substantive offer from the seller, which includes a specific price point, a justification, and an additional incentive (waiving the fee) to close the deal.",29,strong
train,C_4ec52706c9b740fea2756ffff000b6ec,housing,Updated One Bedroom in the Heart of Dublin,"7323 Starward Drive #17, Dublin, CA 94568, USA Bathrooms: 1 Sq Footage: 667 Lease Term: Desired = 12 months, Shortest = 12 months, Longest = 24 months Pets Policy: No Pets Allowed Laundry: Shared and Coin Operated",1900,1748,1900,11,1600,TRUE,"While I cannot change the pets policy, I am willing to negotiate the price. ||| I am sorry, but that is too low. The apartment have modern furnishings, after all. I can do 1750/mo. ||| It has shared and coined laundry machines. Air conditioning. Redone kitchen counter tops in 2014. Utilities, such as gas, internet, electric, must be covered by you. ||| The location of the apartment is a factor. Also, the landlord pays for water, garbage, sewage, and HOA fees. So I feel you still are getting a good deal. But I can go down to 1600/mo. ||| I am sorry, but I cannot accept that offer. 1600/mo is my final offer.","Hello, I'd like to rent this apartment but I don't think the price is worth it especially since I cannot have my dog  ||| Is it possible to go as low as 1000/mo? ||| That's quite a bit over the list price, does this include any utilities? ||| What's the justification for renting at above the list price then? I currently rent a similar apartment down the street for $1250/mo and that includes a washer/dryer in the unit.  ||| I have a great deal of experience with landscaping, is it possible to negotiate a deal where I maintain the property for a deduction in the monthly rent? I can assure you my work is excellent and I can refer you to previous clients ||| I will accept 1600/mo then","Buyer: Hello, I'd like to rent this apartment but I don't think the price is worth it especially since I cannot have my dog 
Seller: While I cannot change the pets policy, I am willing to negotiate the price.
Buyer: Is it possible to go as low as 1000/mo?
Seller: I am sorry, but that is too low. The apartment have modern furnishings, after all. I can do 1750/mo.
Buyer: That's quite a bit over the list price, does this include any utilities?
Seller: It has shared and coined laundry machines. Air conditioning. Redone kitchen counter tops in 2014. Utilities, such as gas, internet, electric, must be covered by you.
Buyer: What's the justification for renting at above the list price then? I currently rent a similar apartment down the street for $1250/mo and that includes a washer/dryer in the unit. 
Seller: The location of the apartment is a factor. Also, the landlord pays for water, garbage, sewage, and HOA fees. So I feel you still are getting a good deal. But I can go down to 1600/mo.
Buyer: I have a great deal of experience with landscaping, is it possible to negotiate a deal where I maintain the property for a deduction in the monthly rent? I can assure you my work is excellent and I can refer you to previous clients
Seller: I am sorry, but I cannot accept that offer. 1600/mo is my final offer.
Buyer: [Offers $1600.0]
Buyer: I will accept 1600/mo then
Seller: [Accept]",4,3,1,1,2,2,1,1,0,15,2,3,2,3,2,This transcript is high-quality training data because both parties engage in genuine justification of their positions and explore non-price variables like landscaping services.,12,9,Turn 9 is the final point where the seller provides a strategic response by issuing a final offer and declining a proposal before the closing sequence begins.,27,strong
train,C_e419368f54bd4743831c5947533c9db0,bike,"18 "" cruiser bike for girls",Super cute 18' Hello Kitty cruiser bike.,45,27,45,8,35,TRUE,"No, its in great shape! My daughter rarely rode the bike . . . tires still look like they have full tread on them and there are no scuffs or scrapes on the bike. I also think I have some streamers and a Hello Kitty helmet I can throw in if you're able to pick-up tomorrow. ||| Yes! The bike was purchased last summer for $120. It has a one-year manufacturer warranty on it . . . so you have about two months left on the warranty.  ||| No, I'm sorry . . . that's too low. It's less than a year old and in near perfect condition. I have it listed for $45, but my bottom dollar is $40 (plus I'll provide the warranty/receipt, helmet, and streamers at no additional charge). Would you like to pick it up tomorrow? ||| Deal. I'll send you my address and we can get you this bike tomorrow! Thank you!","Hi, you have a nice bike there. I was wondering if there was much wear visible and tear on it. ||| Do you still have the receipt and know if there is still a warranty for it? ||| That sounds good, would you take $27 dollars for it? ||| Well I could pick it up tomorrow and go as high as $35. Would that work for you?","Buyer: Hi, you have a nice bike there. I was wondering if there was much wear visible and tear on it.
Seller: No, its in great shape! My daughter rarely rode the bike . . . tires still look like they have full tread on them and there are no scuffs or scrapes on the bike. I also think I have some streamers and a Hello Kitty helmet I can throw in if you're able to pick-up tomorrow.
Buyer: Do you still have the receipt and know if there is still a warranty for it?
Seller: Yes! The bike was purchased last summer for $120. It has a one-year manufacturer warranty on it . . . so you have about two months left on the warranty. 
Buyer: That sounds good, would you take $27 dollars for it?
Seller: No, I'm sorry . . . that's too low. It's less than a year old and in near perfect condition. I have it listed for $45, but my bottom dollar is $40 (plus I'll provide the warranty/receipt, helmet, and streamers at no additional charge). Would you like to pick it up tomorrow?
Buyer: Well I could pick it up tomorrow and go as high as $35. Would that work for you?
Seller: Deal. I'll send you my address and we can get you this bike tomorrow! Thank you!
Seller: [Offers $35.0]
Buyer: [Accept]",3,3,1,1,2,2,1,1,0,14,3,3,2,3,3,The transcript is excellent training data because both participants use information effectively to justify their positions and utilize multi-factor arguments including bundling and condition-based pricing.,14,5,"Turn 5 contains the last significant strategic effort by the seller, including a counter-offer, price justification, and bundling, before the final agreement turn.",28,strong
train,C_2b131bc3b0194ec7a3e063e16412e95e,car,1970 Corvette Stingray Convertible,Numbers matching  black on black 1970 Stingray,20000,18400,20000,16,18000,TRUE,"Car is almost new just needs a little bit of love. Like new dash as it has been sitting outside in the sun. The car has 97,165 miles ||| i will give you a personal 90 day warranty. The manufacturers warranty ran out in 1975 ||| Spare tire, Jack, lug wrench trunk even includes a emergency roadside bag with jumper cable flares and rescue blanket ||| Originally i was going by the kelly blue book price of 24000 but i am willing to let it go for 22000 ||| I cant i have to much invested I had a offer for $19,000 this morning. He is supposed to come by in the morning but it is a first come first served ||| You bring me a coffee med ice extra cream extra sugar you have a deal ||| nice doing business with you ||| 427 5th st fall river ma","Hello I'm interested in your 1970 Corvette Stingray Convertible and was wondering what kind of condition the car is in and how many miles it has on it. ||| Is the car under warranty? ||| Can you throw in anything with the car like a spare tire, jack, jumper cables? ||| How much are you asking for all of this? ||| I'm ready to make you an offer of $17,500 and pay you cash today. ||| I can come by this evening and pay $18,000. Your other offer may fall through but I can guarantee you'll have cash in hand before you go to sleep tonight. ||| Deal! ||| See you soon, please send your address.","Buyer: Hello I'm interested in your 1970 Corvette Stingray Convertible and was wondering what kind of condition the car is in and how many miles it has on it.
Seller: Car is almost new just needs a little bit of love. Like new dash as it has been sitting outside in the sun. The car has 97,165 miles
Buyer: Is the car under warranty?
Seller: i will give you a personal 90 day warranty. The manufacturers warranty ran out in 1975
Buyer: Can you throw in anything with the car like a spare tire, jack, jumper cables?
Seller: Spare tire, Jack, lug wrench trunk even includes a emergency roadside bag with jumper cable flares and rescue blanket
Buyer: How much are you asking for all of this?
Seller: Originally i was going by the kelly blue book price of 24000 but i am willing to let it go for 22000
Buyer: I'm ready to make you an offer of $17,500 and pay you cash today.
Seller: I cant i have to much invested I had a offer for $19,000 this morning. He is supposed to come by in the morning but it is a first come first served
Buyer: I can come by this evening and pay $18,000. Your other offer may fall through but I can guarantee you'll have cash in hand before you go to sleep tonight.
Seller: You bring me a coffee med ice extra cream extra sugar you have a deal
Buyer: Deal!
Seller: nice doing business with you
Buyer: See you soon, please send your address.
Seller: 427 5th st fall river ma
Seller: [Offers $18000.0]
Buyer: [Offers $18000.0]
Seller: [Accept]",4,2,3,2,2,2,1,1,0,17,2,2,2,2,2,"The transcript displays a natural flow with reasonable justifications, though the final agreement is driven by an unconventional non-monetary condition.",10,11,"Turn 11 represents the final strategic maneuver where the seller imposes an additional condition to finalize the deal, marking the conclusion of the substantive negotiation.",27,strong
train,C_b461b20f9e4b45ccb7ff333fa54b5876,car,2016 mercedes benz c300,"Im selling 2016 Mercedes Benz C300 1OWNER  Automatic,Fully Loaded,",26800,20368,26800,6,20000,TRUE,"Yes it is used but it is in pristine condition. It only has 16,473 miles on it and looks and runs like new. I have taken it to the dealer for oil changes and the like. ||| Yes it does come with a full warranty. It is loaded with extras I was looking to get more like 26000 but would consider an offer of 21000 as that is way below book value. I am moving so I need to sell it. I cannot take it with me. ||| 20000 would be fine. I will send you an offer! I will also deliver it to you, my friend has a flatbed truck I can bring it on. thanks !","Hi. You've got a nice car. Its used, right? How well did you take care of it? ||| Good to know, it should still be under warranties with that number of miles, correct? I like what I'm hearing. How about I give you 18,000 for it? ||| I'll come up a bit and work with you, that's fair. 20,000?","Buyer: Hi. You've got a nice car. Its used, right? How well did you take care of it?
Seller: Yes it is used but it is in pristine condition. It only has 16,473 miles on it and looks and runs like new. I have taken it to the dealer for oil changes and the like.
Buyer: Good to know, it should still be under warranties with that number of miles, correct? I like what I'm hearing. How about I give you 18,000 for it?
Seller: Yes it does come with a full warranty. It is loaded with extras I was looking to get more like 26000 but would consider an offer of 21000 as that is way below book value. I am moving so I need to sell it. I cannot take it with me.
Buyer: I'll come up a bit and work with you, that's fair. 20,000?
Seller: 20000 would be fine. I will send you an offer! I will also deliver it to you, my friend has a flatbed truck I can bring it on. thanks !
Seller: [Offers $20000.0]
Buyer: [Accept]",2,3,3,1,2,2,1,1,0,15,2,3,3,3,2,"This transcript is excellent training data as it demonstrates effective information sharing, multi-factor justifications, and a value-add concession (delivery) to close the deal.",13,5,Turn 5 is the final turn where the seller provides a strategic concession and adds a service-based bundling incentive to facilitate the agreement.,28,strong
train,C_e8d05f9bc65447588350d71da8dcfd9f,car,1989 Toyota Corolla Wagon Handicap equipped  + wheelchair lift,"Selling this super Wagon to be Mobile and independent with automotive hands controls. Vehicle is smog ready, timing belt was replaced 127k miles, new battery and breaks. Vehicle can be driven with or without the Handicap system at the same time. Vehicle is fully registered.",3000,2280,3000,12,2500,TRUE,"Great! Do you have any questions? ||| it is a 1989 ||| Since '89, Im the only owner the car has had ||| $2700 is the lowest I can possibly go. I've put a lot into the car and it shouldnt have any issues or need any major upkeep for the next 50k miles ||| I can go to $2500 if you can come today, but that is the absolute lowest. Like I said it has all the upkeep it needs for a long time and new tires. ||| Deal!",Hi.  I saw your super wagon for sale and I'm interested in buying it. ||| What year is the car? ||| How long have you owned it? ||| I really need this vehicle to be mobile but I already have so many expenses so I can't afford the asking price of $3000.  Would you be willing to take $2000 if I paid in cash? ||| $2300 is the absolute highest I can go.  I've been looking at another hand controlled equiped car for $2200 but it has slightly more miles.  I may have to go with that one if you can't take my offer ||| I'll take it for $2500,"Buyer: Hi.  I saw your super wagon for sale and I'm interested in buying it.
Seller: Great! Do you have any questions?
Buyer: What year is the car?
Seller: it is a 1989
Buyer: How long have you owned it?
Seller: Since '89, Im the only owner the car has had
Buyer: I really need this vehicle to be mobile but I already have so many expenses so I can't afford the asking price of $3000.  Would you be willing to take $2000 if I paid in cash?
Seller: $2700 is the lowest I can possibly go. I've put a lot into the car and it shouldnt have any issues or need any major upkeep for the next 50k miles
Buyer: $2300 is the absolute highest I can go.  I've been looking at another hand controlled equiped car for $2200 but it has slightly more miles.  I may have to go with that one if you can't take my offer
Seller: I can go to $2500 if you can come today, but that is the absolute lowest. Like I said it has all the upkeep it needs for a long time and new tires.
Buyer: I'll take it for $2500
Seller: Deal!
Buyer: [Offers $2500.0]
Seller: [Offers $2500.0]
Buyer: [Accept]",4,2,2,2,2,2,1,1,0,16,3,3,2,3,3,"This is excellent training data because it features realistic, well-justified arguments, the use of market alternatives as leverage, and a clear, logical progression toward a middle-ground agreement.",14,9,"The turn at index 9 is the final seller contribution that includes a counter-offer, a conditional clause, and substantive justification before the agreement is finalized.",30,elite
